frame_id,track_id,x,y,group_id
10,1,141.6,429.6,0
10,3,698.4,295.2,0
20,1,189.6,429.6,0
20,3,698.4,312,0
30,1,247.2,420,0
30,3,686.4,307.2,0
40,1,312,441.6,1
40,2,156,448.8,1
40,3,660,316.8,0
50,1,381.6,444,1
50,2,228,448.8,1
50,3,643.2,307.2,0
60,1,427.2,444,1
60,2,283.2,458.4,1
60,3,628.8,324,0
70,1,482.4,441.6,1
70,2,360,448.8,1
70,3,600,326.4,0
80,1,540,436.8,1
80,2,439.2,456,1
80,3,564,336,0
80,4,1156.8,328.8,0
90,2,508.8,439.2,1
90,3,530.4,348,0
90,4,1132.8,321.6,0
90,1,592.8,441.6,1
100,1,650.4,424.8,1
100,2,556.8,441.6,1
100,3,513.6,352.8,0
100,4,1104,336,0
110,1,722.4,420,1
110,2,628.8,444,1
110,3,463.2,350.4,0
110,4,1060.8,331.2,0
120,1,780,422.4,1
120,2,691.2,446.4,1
120,3,436.8,367.2,0
120,4,1036.8,338.4,0
130,1,840,429.6,1
130,2,758.4,453.6,1
130,3,386.4,352.8,0
130,4,1003.2,338.4,0
140,1,883.2,420,1
140,2,818.4,448.8,1
140,3,336,379.2,0
140,4,979.2,352.8,0
150,1,957.6,427.2,1
150,2,897.6,453.6,1
150,3,309.6,396,0
150,4,931.2,338.4,0
160,1,1005.6,434.4,1
160,2,964.8,448.8,1
160,3,266.4,410.4,0
160,4,900,350.4,0
170,1,1068,424.8,1
170,2,1027.2,456,1
170,3,216,417.6,0
170,4,876,352.8,0
180,1,1125.6,420,1
180,2,1092,451.2,1
180,3,175.2,417.6,0
180,4,844.8,362.4,0
190,1,1200,439.2,1
190,2,1168.8,468,1
190,4,811.2,362.4,0
200,1,1257.6,434.4,1
200,2,1216.8,463.2,1
200,4,784.8,367.2,0
200,7,211.2,492,0
210,1,1336.8,458.4,1
210,2,1324.8,482.4,1
210,4,732,376.8,0
210,7,271.2,482.4,0
220,1,1394.4,439.2,1
